timestamp,open,high,low,close,volume
2022-07-25 20:00:00,217.4100,217.4100,217.4100,217.4100,296
2022-07-25 19:55:00,217.6400,217.6400,217.6300,217.6300,744
2022-07-25 19:50:00,217.6500,217.6500,217.5000,217.5000,2068
2022-07-25 19:45:00,217.6500,217.6500,217.6500,217.6500,120
2022-07-25 19:40:00,217.6500,217.6500,217.6500,217.6500,137
2022-07-25 19:35:00,217.0500,217.4000,217.0500,217.4000,2240
2022-07-25 19:30:00,217.0500,217.0500,217.0500,217.0500,203
2022-07-25 19:25:00,217.0500,217.1000,217.0500,217.1000,1968
2022-07-25 19:20:00,217.5400,217.5500,217.5000,217.5000,1178
2022-07-25 19:00:00,217.9000,217.9000,217.9000,217.9000,552
2022-07-25 18:45:00,218.2100,218.2100,218.2100,218.2100,210
2022-07-25 18:40:00,218.3600,218.3600,218.3600,218.3600,197
2022-07-25 18:35:00,218.2000,218.2000,218.1500,218.1500,869
2022-07-25 18:30:00,218.2500,218.2500,218.2500,218.2500,177
2022-07-25 18:05:00,218.1800,218.3000,218.1800,218.3000,763
2022-07-25 17:50:00,218.1843,218.1843,218.1843,218.1843,158
2022-07-25 17:45:00,218.5000,218.5000,218.2200,218.2200,787
2022-07-25 17:30:00,218.6500,218.6500,218.6500,218.6500,311
2022-07-25 17:25:00,218.6100,218.6500,218.6100,218.6500,442
2022-07-25 17:20:00,218.6100,218.6100,218.6100,218.6100,259
2022-07-25 17:15:00,218.6100,218.6100,218.6100,218.6100,333
2022-07-25 17:10:00,218.6300,218.6600,218.6000,218.6300,945
2022-07-25 17:05:00,218.6316,218.9500,218.6201,218.6201,2193
2022-07-25 17:00:00,218.8700,219.2000,218.8700,219.1700,3070
2022-07-25 16:55:00,219.2400,219.2400,218.6600,218.6600,1997
2022-07-25 16:50:00,218.7200,218.9000,218.7200,218.9000,816
2022-07-25 16:45:00,218.9800,219.0200,218.6300,219.0200,3264
2022-07-25 16:40:00,218.6200,218.7500,218.6200,218.7500,3519
2022-07-25 16:35:00,218.1604,218.4400,218.1604,218.4400,1588
2022-07-25 16:30:00,218.4900,218.5500,218.3000,218.5000,27805
2022-07-25 16:25:00,218.5100,218.6292,218.1600,218.1600,3703
2022-07-25 16:20:00,218.6400,218.6400,218.5100,218.5100,1649
2022-07-25 16:15:00,218.6000,218.7200,218.5100,218.7200,12532
2022-07-25 16:10:00,218.7500,218.8456,218.6000,218.6700,1717
2022-07-25 16:05:00,218.5100,218.7400,218.5000,218.7400,24231
2022-07-25 16:00:00,218.0350,218.6600,218.0200,218.5300,288828
2022-07-25 15:55:00,217.9100,218.3244,217.7500,218.0700,222614
2022-07-25 15:50:00,217.6800,217.9500,217.5000,217.9000,183805
2022-07-25 15:45:00,217.5900,217.7900,217.5100,217.7200,159244
2022-07-25 15:40:00,216.6600,217.6500,216.6600,217.6000,160620
2022-07-25 15:35:00,217.0600,217.2300,216.5800,216.6599,156500
2022-07-25 15:30:00,217.4550,217.5200,217.0100,217.0100,101634
2022-07-25 15:25:00,217.2800,217.5888,217.1300,217.4300,135178
2022-07-25 15:20:00,216.6700,217.3901,216.4100,217.2381,125479
2022-07-25 15:15:00,216.8200,217.0000,216.3500,216.6999,118627
2022-07-25 15:10:00,217.0900,217.2300,216.6200,216.8150,142094
2022-07-25 15:05:00,217.4200,217.7984,217.0600,217.0986,87598
2022-07-25 15:00:00,217.7419,217.8800,217.2200,217.4676,95437
2022-07-25 14:55:00,217.8300,217.9200,217.3700,217.7000,96357
2022-07-25 14:50:00,218.8500,218.8500,217.6800,217.8500,138021
2022-07-25 14:45:00,218.6900,218.8999,218.6050,218.8000,55509
2022-07-25 14:40:00,218.6500,219.0100,218.5000,218.6600,102226
2022-07-25 14:35:00,218.5230,218.9500,218.4250,218.6300,122081
2022-07-25 14:30:00,218.2800,218.6400,218.2500,218.4942,57218
2022-07-25 14:25:00,218.5300,218.5300,218.0200,218.3200,106543
2022-07-25 14:20:00,218.7000,218.7299,218.4000,218.5800,116109
2022-07-25 14:15:00,218.8000,218.8900,218.5200,218.7400,103775
2022-07-25 14:10:00,219.1900,219.3600,218.7600,218.8300,64129
2022-07-25 14:05:00,219.0900,219.2699,219.0100,219.0900,51413
2022-07-25 14:00:00,219.2698,219.4700,219.1000,219.1400,50409
2022-07-25 13:55:00,219.8100,219.8200,219.1993,219.2476,68554
2022-07-25 13:50:00,219.7000,219.9115,219.6000,219.7700,50412
2022-07-25 13:45:00,219.9600,220.0000,219.5500,219.7000,77251
2022-07-25 13:40:00,220.8700,220.9700,219.8501,219.9400,83676
2022-07-25 13:35:00,220.6700,220.9399,220.5700,220.9200,57126
2022-07-25 13:30:00,220.5500,220.7384,220.4850,220.6400,53765
2022-07-25 13:25:00,220.4300,220.6600,220.1200,220.5350,60095
2022-07-25 13:20:00,220.6100,220.6300,220.3200,220.4200,42353
2022-07-25 13:15:00,220.8400,220.9199,220.5300,220.5900,47717
2022-07-25 13:10:00,220.7710,220.8800,220.4500,220.8322,52647
2022-07-25 13:05:00,220.3600,220.9300,220.1900,220.8050,63989
2022-07-25 13:00:00,220.5208,220.5208,220.1800,220.3700,42093
2022-07-25 12:55:00,220.9750,221.0439,220.4150,220.5100,45598
2022-07-25 12:50:00,220.8100,221.3800,220.8100,221.0001,78372
2022-07-25 12:45:00,220.2150,220.8799,220.1843,220.8150,64273
2022-07-25 12:40:00,220.4009,220.4300,220.1900,220.2000,33276
2022-07-25 12:35:00,220.1925,220.4900,220.0400,220.3899,53899
2022-07-25 12:30:00,220.1750,220.3699,219.9301,220.2400,33843
